ppm,LP30 298K,,,,,,,,,LP30 310K,,,,,,,,,LP30 323K,,,,,,,
,500Hz,,1000Hz,,1500Hz,,2000Hz,,,500Hz,,1000,,1500,,2000,,,500,,1000,,1500,,2000,
,exp,fit,exp,fit,exp,fit,exp,fit,Divided by Max of J,exp,fit,exp,fit,exp,fit,exp,fit,,exp,fit,,fit,,fit,,fit
500,1,1,1,1,1,1,1,1,--,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
-190,0.899609752,0.937420334,0.849043128,0.844190398,0.78011378,0.745647108,0.635903892,0.645636252,--,0.899167586,0.920273396,0.831196631,0.83075506,0.808470129,0.764553006,0.727004778,0.703746864,,0.916252322,0.910227911,0.844705914,0.795656295,0.731637524,0.726023475,0.68602288,0.679933642
-200,0.906699261,0.933950548,0.853359847,0.849653006,0.771929073,0.761234249,0.674988729,0.669031768,--,0.886084126,0.910249896,0.834217163,0.826506633,0.815183406,0.768719359,0.689245026,0.715077914,,0.923559256,0.900163367,0.817212313,0.785850198,0.697157369,0.72229484,0.676485816,0.681863338
-210,0.917711127,0.929070481,0.85738431,0.853954905,0.793254749,0.77497169,0.687938344,0.690292967,--,0.905107825,0.898688524,0.81322149,0.822064861,0.80969172,0.772193843,0.703948195,0.725065343,,0.91882207,0.889422445,0.809501577,0.776364825,0.701125127,0.718742166,0.66987164,0.683438851
-220,0.967827853,0.923089997,0.865553601,0.857508536,0.794003513,0.787204555,0.695763834,0.709660626,--,0.885526359,0.886473731,0.830193758,0.818079958,0.802301628,0.775380434,0.728647128,0.734048646,,0.896956444,0.878743199,0.794103991,0.767875705,0.70148807,0.715770869,0.692597561,0.684972989
-230,0.902534963,0.916693789,0.871581749,0.860713312,0.811420921,0.79823921,0.720816838,0.727364451,--,0.874568691,0.875236336,0.835833899,0.815208904,0.796178679,0.778630213,0.717745191,0.742319238,,0.885012074,0.869202796,0.802824447,0.761074973,0.705237368,0.713740493,0.673787869,0.686729455
-240,0.904126084,0.911041493,0.880746691,0.863938816,0.801714108,0.808342728,0.715800814,0.743617877,--,0.885515425,0.86722006,0.816326262,0.814040627,0.766108713,0.782233411,0.745303149,0.750122148,,0.877180301,0.862094903,0.787527262,0.756597503,0.686177386,0.712950751,0.67718722,0.688924227
-250,0.905755201,0.907611869,0.878940644,0.867498709,0.815203437,0.817742163,0.744932964,0.758614945,--,0.880329944,0.86455716,0.802471939,0.815008305,0.774727349,0.786411251,0.730714773,0.757657666,,0.850192615,0.858620088,0.785642046,0.754934444,0.692232415,0.713627484,0.673378477,0.691726208
-260,0.900439179,0.90766258,0.876281388,0.871622609,0.829234946,0.826624101,0.760674621,0.772528694,--,0.869360265,0.868191098,0.807370108,0.818316703,0.770511226,0.791310322,0.744679353,0.765083257,,0.858089958,0.859477699,0.763293681,0.756356521,0.684310428,0.715911732,0.680113413,0.695257955
-266,0.906085279,0.909565648,0.86719688,0.87442431,0.820854566,0.831767437,0.754717685,0.780420872,--,0.875166331,0.873120428,0.802725009,0.821413351,0.799306354,0.794628538,0.734157083,0.769536149,,0.859327741,0.862070986,0.759621766,0.758704792,0.690799766,0.718078875,0.666053028,0.697761391
-270,0.956037781,0.911562509,0.865719504,0.876435532,0.828299302,0.83513504,0.755303512,0.78551064,--,0.875954902,0.877310294,0.833230886,0.823912234,0.801786011,0.79700164,0.739015002,0.772516021,,0.875256326,0.864584304,0.768571806,0.760870948,0.688434633,0.719854592,0.668355185,0.699597111
-280,0.915069456,0.918579666,0.864068439,0.881952937,0.816928156,0.84338304,0.793002533,0.797691085,--,0.918479739,0.88985882,0.817958539,0.831508459,0.801858196,0.803485475,0.757324315,0.780035906,,0.861738274,0.873112964,0.7762554,0.768226772,0.705591774,0.725419381,0.69991581,0.704778954
